x,y,strength,angle_deg,spin_deg,count
0.6,-0.9,0.9113,-5.9762,-1.9524,1
0.6,-0.8,0.7617,-8.4556,-3.5288,1
0.6,-0.7,0.735,-9.6015,-3.5105,1
0.6,-0.6,0.7279,-9.7055,-3.4705,1
0.6,-0.5,0.726,-9.6151,-3.4971,1
0.6,-0.4,0.7264,-9.5543,-3.5276,1
0.6,-0.3,0.7264,-9.5543,-3.5276,1
0.6,-0.2,0.7264,-9.5546,-3.5274,1
0.6,-0.1,0.7264,-9.5555,-3.5253,1
0.6,0.0,0.7264,-9.5555,-3.5253,1
0.6,0.1,0.7265,-9.5606,-3.5156,1
0.6,0.2,0.7265,-9.5609,-3.5156,1
0.6,0.3,0.7268,-9.5821,-3.5113,1
0.6,0.4,0.7248,-9.6627,-3.3755,1
0.6,0.5,0.7348,-7.2353,-2.722,1
0.6,0.6,0.7846,1.0311,-0.4562,1
0.6,0.7,0.8329,6.2395,0.6195,1
0.6,0.8,0.9135,15.588,1.3765,1
0.6,0.9,0.9837,14.1269,2.874,1
0.6,1.0,0.9296,26.9446,-2.66,1
0.7,-0.9,0.7375,-9.0566,-3.8175,1
0.7,-0.8,0.7556,-9.4272,-3.8234,1
0.7,-0.7,0.7405,-10.0192,-3.7802,1
0.7,-0.6,0.7317,-9.9037,-3.6293,1
0.7,-0.5,0.7262,-9.6184,-3.5034,1
0.7,-0.4,0.7264,-9.5543,-3.5276,1
0.7,-0.3,0.7264,-9.5545,-3.5283,1
0.7,-0.2,0.7264,-9.5546,-3.5283,1
0.7,-0.1,0.7264,-9.5549,-3.5275,1
0.7,0.0,0.7264,-9.5559,-3.5243,1
0.7,0.1,0.7265,-9.5601,-3.514,1
0.7,0.2,0.7265,-9.5609,-3.513,1
0.7,0.3,0.7268,-9.5821,-3.5112,1
0.7,0.4,0.7238,-9.7122,-3.4046,1
0.7,0.5,0.7276,-7.1978,-2.6386,1
0.7,0.6,0.75,-0.4693,-0.776,1
0.7,0.7,0.7735,3.4953,-0.0465,1
0.7,0.8,0.8139,10.5841,1.1748,1
0.7,0.9,0.8266,10.665,1.502,1
0.7,1.0,1.2951,22.2437,7.4196,1
0.8,-0.9,0.7709,-9.6597,-3.6279,1
0.8,-0.8,0.7438,-10.3902,-3.9943,1
0.8,-0.7,0.7387,-10.5878,-3.9782,4
0.8,-0.6,0.7335,-10.4664,-3.8577,10
0.8,-0.5,0.7269,-9.8014,-3.5869,10
0.8,-0.4,0.7264,-9.5543,-3.5276,12
0.8,-0.3,0.7264,-9.5545,-3.5283,41
0.8,-0.2,0.7264,-9.5545,-3.5295,594
0.8,-0.1,0.7264,-9.5549,-3.5275,99
0.8,0.0,0.7264,-9.556,-3.5243,480
0.8,0.1,0.7265,-9.5611,-3.5102,177
0.8,0.2,0.7265,-9.5609,-3.513,27
0.8,0.3,0.7268,-9.5818,-3.5151,6
0.8,0.4,0.7238,-9.7122,-3.4046,5
0.8,0.5,0.7229,-7.1719,-2.4629,2
0.8,0.6,0.7421,-0.5604,-0.8514,2
0.8,0.7,0.7573,2.8629,-0.2191,3
0.8,0.8,0.784,9.2209,0.7862,1
0.8,0.9,0.8202,11.3488,1.2003,1
0.8,1.0,0.8809,10.3683,-1.6417,1
0.9,-1.0,0.7285,-4.243,-2.4863,1
0.9,-0.9,0.7751,-9.2101,-3.9831,1
0.9,-0.8,0.7393,-10.6641,-4.0154,1
0.9,-0.7,0.7377,-10.8737,-4.0754,2
0.9,-0.6,0.733,-10.7098,-3.9331,1
0.9,-0.5,0.7269,-9.8014,-3.5869,2
0.9,-0.4,0.7264,-9.5543,-3.5276,3
0.9,-0.3,0.7264,-9.5545,-3.5283,4
0.9,-0.2,0.7264,-9.5546,-3.5283,1
0.9,-0.1,0.7264,-9.5549,-3.5275,2
0.9,0.0,0.7264,-9.5559,-3.5243,2
0.9,0.1,0.7265,-9.5601,-3.514,2
0.9,0.2,0.7265,-9.5609,-3.513,3
0.9,0.3,0.7268,-9.5818,-3.5151,3
0.9,0.4,0.7238,-9.7111,-3.4044,1
0.9,0.5,0.6197,-3.8421,-1.9478,1
0.9,0.6,0.6223,-0.2984,-1.0059,1
0.9,0.7,0.6245,1.3296,-0.7776,3
0.9,0.8,0.652,5.2682,-0.0295,1
0.9,0.9,0.6554,5.7782,0.1905,1
0.9,1.0,1.2391,26.0994,-4.3789,1
1.0,-1.0,0.7342,12.302,-1.6896,1
1.0,-0.9,0.7806,-9.2076,-3.6239,1
1.0,-0.8,0.7396,-10.6442,-4.0115,1
1.0,-0.7,0.7322,-11.0859,-4.0491,2
1.0,-0.6,0.7331,-10.7056,-3.9331,3
1.0,-0.5,0.7269,-9.8045,-3.5888,1
1.0,-0.4,0.7264,-9.5543,-3.5276,2
1.0,-0.3,0.7264,-9.5543,-3.5276,3
1.0,-0.2,0.7264,-9.5546,-3.5274,1
1.0,-0.1,0.7264,-9.5555,-3.5253,1
